parameter,sector,ptype,value,sensitivity_bits_per_log2,abs_sensitivity
Lambda_planck_units,vacuum,scale,1e-122,-1.340033613066369,1.340033613066369
alpha_EM,gauge,scale,0.007297352573756914,-1.0050252098067063,1.0050252098067063
alpha_s_mZ,gauge,scale,0.1181,-1.0050252098067063,1.0050252098067063
eta_baryon_to_photon,cosmo,scale,6.1e-10,-1.0050252098067063,1.0050252098067063
PMNS_s23,gauge,haar_mixing,0.714142842854285,-1.0050252098067063,1.0050252098067063
CKM_s23,gauge,haar_mixing,0.0422,-1.0050252098067063,1.0050252098067063
CKM_s12,gauge,haar_mixing,0.2243,-1.0050252098067063,1.0050252098067063
y_t,matter,scale,0.99,-1.0050252098067063,1.0050252098067063
y_b,matter,scale,0.024,-1.0050252098067063,1.0050252098067063
y_c,matter,scale,0.0073,-1.0050252098067063,1.0050252098067063
y_s,matter,scale,0.00053,-1.0050252098067063,1.0050252098067063
y_d,matter,scale,2.7e-05,-1.0050252098067063,1.0050252098067063
y_tau,matter,scale,0.0102,-1.0050252098067063,1.0050252098067063
y_mu,matter,scale,0.000612,-1.0050252098067063,1.0050252098067063
y_e,matter,scale,2.94e-06,-1.0050252098067063,1.0050252098067063
m_mu_over_m_p,matter,scale,0.1126095261766796,-1.0050252098067063,1.0050252098067063
m_e_over_m_p,matter,scale,0.0005446170216151737,-1.0050252098067063,1.0050252098067063
alpha_G_proton,gravity,scale,5.9e-39,-1.0050252098067063,1.0050252098067063
m_tau_over_m_p,matter,scale,1.8937577227472386,1.0050252098027466,1.0050252098027466
n_s_spectral_index,cosmo,scale,0.965,-1.0050252098027466,1.0050252098027466
y_u,matter,scale,1.3e-05,-1.0050252097987868,1.0050252097987868
alpha_G_electron,gravity,scale,1.75e-45,-1.0050252097987868,1.0050252097987868
PMNS_s12,gauge,haar_mixing,0.5540758070878027,-1.0050252097987868,1.0050252097987868
CKM_s13,gauge,haar_mixing,0.00394,-1.0049940071407033,1.0049940071407033
PMNS_s13,gauge,haar_mixing,0.14491376746189438,-0.9619100465047449,0.9619100465047449
sin2_theta_W,gauge,probability,0.23122,-0.3513803671913325,0.3513803671913325
A_s_scalar_amp,cosmo,scale,2.1e-09,-3.959753308525639e-12,3.959753308525639e-12
